,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
3623,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-renovasi-siap-huni-di-jl-margawangi-belakang-borma-ciwastra-oleh-setia-permana-20906660,Dekat dengan Tol Buah batu,"margawangi, Ciwastra, Bandung, Jawa Barat",2,2,1400000000.0,120.0,148.0,2200,Sebagian,2,-6.9598173,107.661547,945945.0,0,0,1,0
3624,https://www.rumah.com/listing-properti/dijual-rukan-batununggal-indah-raya-oleh-sisca-amalia-20914953,Batununggal indah raya,"Batununggal, Bandung, Jawa Barat",8,5,17000000000.0,1200.0,504.0,13300,,0,0.7893,113.9213,3373015.0,0,0,0,0
3625,https://www.rumah.com/listing-properti/dijual-tamansari-manglayang-regency-oleh-sandri-febriansyah-20914966,Rumah minimalis di manglayang regency dekat cileunyi cibiru jatinangor,"Jl SMP 1, Cimekar, Cileunyi, Cileunyi, Bandung, Jawa Barat",3,2,365000000.0,90.0,60.0,1300,,0,-6.9175,107.743889,608333.0,0,0,0,0
3626,https://www.rumah.com/listing-properti/dijual-dijual-rumah-strategis-komplek-sukaasih-oleh-ika-kartika-20914860,1 unit tersisa,"komplek sukaasih, Arcamanik, Bandung, Jawa Barat",3,2,730000000.0,60.0,121.0,1300,Tak Berperabot,1,-6.9291188,107.6764994,603305.0,0,0,0,1
3627,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-di-cinunuk-bandung-timur-dekat-exit-tol-cileunyi-view-gunung-dan-kota-bandung-oleh-hikmat-aulia-20914984,Rumah bernuansa pegunungan dan perkotaan yang asri dan sejuk,"Jalan sadang cibiru cinunuk cileunyi bandung timur, Bandung Timur, Bandung, Jawa Barat",2,2,580000000.0,45.0,60.0,1300,Tak Berperabot,1,-6.9174639,107.6191228,966666.0,0,0,0,1
3628,https://www.rumah.com/listing-properti/dijual-termurah-rumah-cluster-greenville-taman-kopo-indah-bandung-oleh-ellys-taslim-kohar-20915005,"Termurah!! Rumah cluster greenville taman kopo indah, bandung","Taman Kopo Indah, Margahayu, Bandung, Jawa Barat",2,1,860000000.0,72.0,72.0,2200,Lengkap,1,-6.254615,107.0096553,1194444.0,1,0,0,0
3629,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-di-cinunuk-lokasi-strategis-dekat-exit-tol-cileunyi-bandung-timur-view-gunung-oleh-hikmat-aulia-20915012,Rumah baru di cinunuk lingkungan asri sejuk dan nyaman view gunung,"Jalan sadang cibiru, cinunuk, cileunyi bandung, Cileunyi, Bandung, Jawa Barat",2,2,580000000.0,45.0,60.0,1300,Tak Berperabot,1,-6.9316588,107.7419708,966666.0,0,0,0,1
3630,https://www.rumah.com/listing-properti/dijual-tamansari-manglayang-regency-oleh-sandri-febriansyah-20915048,Rumah minimalis siap huni di manglayang regency dekat cileunyi cibiru,"Jl SMP 1, Cimekar, Cileunyi, Cileunyi, Bandung, Jawa Barat",2,2,350000000.0,77.0,77.0,1300,Tak Berperabot,1,-6.9175,107.743889,454545.0,0,0,0,1
3632,https://www.rumah.com/listing-properti/dijual-murah-rumah-tinggal-lux-ciumbuleuit-bandung-oleh-ellys-taslim-kohar-20915028,"Murah!! rumah tinggal lux ciumbuleuit, bandung","Bandung, Ciumbuleuit, Bandung, Jawa Barat",5,3,5500000000.0,376.0,216.0,3500,Sebagian,2,-6.8586297,107.612654,2546296.0,0,0,1,0
3633,https://www.rumah.com/listing-properti/dijual-taman-kopo-indah-2-oleh-ana-kezia-20915062,Dijual Rumah Taman Kopo Indah 2,"Margaasih, Bandung, Jawa Barat",3,2,1445000000.0,125.0,135.0,2200,Multiple options available,1,-6.9579751,107.5611608,1070370.0,0,1,0,0
3634,https://www.rumah.com/listing-properti/dijual-jual-bu-lt180-900-juta-an-di-antapani-rumah-hitung-tanah-oleh-aneu-20882553,Banting harga banget! Lokasi strategis dkt griya antapani rumah murah,"Jl pratista antapani, Antapani, Bandung, Jawa Barat",3,2,910000000.0,150.0,181.0,1300,Multiple options available,1,0.7893,113.9213,502762.0,0,1,0,0
3635,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-sayap-moch-ramdan-oleh-chandra-20915072,"Rumah Tipe Minimalis Include Kitchen Moch Ramdan, Bandung","Jl. Moch Iwan I, Regol, Bandung, Jawa Barat",4,4,1999000000.0,180.0,122.0,3500,Sebagian,2,0.7893,113.9213,1638524.0,0,0,1,0
3636,https://www.rumah.com/listing-properti/dijual-rumah-murah-siap-huni-antapani-oleh-sukma-20915071,Dijual Rumah Murah Siap Huni Antapani Terawat,"Antapani, Bandung, Jawa Barat",3,3,1000000000.0,100.0,140.0,2200,Tak Berperabot,1,-6.9135245,107.6594029,714285.0,0,0,0,1
3637,https://www.rumah.com/listing-properti/dijual-padasuka-cicaheum-oleh-aris-riswana-20915095,Rumah mewah di padasuka dekat gasibu cicaheum antapani,"Jalan pasir luhur, Cibeunying Kidul, Bandung, Jawa Barat",2,2,745000000.0,60.0,72.0,1300,Tak Berperabot,1,0.7893,113.9213,1034722.0,0,0,0,1
3638,https://www.rumah.com/listing-properti/dijual-taman-kopo-indah-3-oleh-benny-lie-20727928,Jual Rumah siap huni di komplek Taman Kopo Indah 3,"Taman Kopo indah 3, Taman Kopo Indah, Bandung, Jawa Barat",2,2,990000000.0,72.0,961.0,2200,Multiple options available,1,0.7893,113.9213,103017.0,0,1,0,0
3639,https://www.rumah.com/listing-properti/dijual-saritem-oleh-benny-lie-20228999,"Jual Cepat Turun Harga Rmh raya saritem dekat mall paskal 23,binus dll","Jalan saritem, Bandung Tengah, Bandung, Jawa Barat",4,2,2200000000.0,150.0,161.0,3500,Multiple options available,1,0.7893,113.9213,1366459.0,0,1,0,0
