,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
0,https://www.rumah.com/listing-properti/dijual-permata-arcamanik-oleh-evan-dwilak-sono-20119424,Rumah terlaris di bandung,"Jl Pacuan Kuda, Cisaranten Kulon, Arcamanik, Arcamanik, Bandung, Jawa Barat",2,1,245000000.0,60.0,72.0,1300,Multiple options available,1,-6.912222,107.678611,340277.0,0,1,0,0
1,https://www.rumah.com/listing-properti/dijual-katapang-kopo-oleh-evan-dwilak-sono-18058178,"Hunian exclusif, free desain premium","Sukamukti katapang cibaduyut kopo bandung, Katapang, Bandung, Jawa Barat",2,1,177000000.0,36.0,50.0,1300,Tak Berperabot,1,0.7893,113.9213,354000.0,0,0,0,1
2,https://www.rumah.com/listing-properti/dijual-mutiara-cibaduyut-oleh-evan-dwilak-sono-18402643,Rumah terlaris di bandung,"Jl Raya Cibaduyut, Cibaduyut, Bojongloa Kidul, Bojongloa Kidul, Bandung, Jawa Barat",3,2,313000000.0,60.0,84.0,1300,Multiple options available,1,-6.971533,107.589911,372619.0,0,1,0,0
3,https://www.rumah.com/listing-properti/dijual-pelangi-antapani-oleh-evan-dwilak-sono-19139536,Jual rumah free desain,". Jl. Terusan Jakarta, Antapani, Bandung, Jawa Barat",3,2,330000000.0,60.0,84.0,1300,,0,-6.912762,107.6577723,392857.0,0,0,0,0
4,https://www.rumah.com/listing-properti/dijual-rumah-strategis-komplek-batununggal-bandung-oleh-lili-solihin-20816576,Rumah Strategis Komplek Batununggal Bandung,"Batununggal, Batununggal, Bandung, Jawa Barat",6,5,4700000000.0,219.0,303.0,6600,,0,-6.9317606,107.6431247,1551155.0,0,0,0,0
5,https://www.rumah.com/listing-properti/dijual-cibaduyut-kopo-oleh-evan-dwilak-sono-17876347,Hunian minimalis free desain hemat kualitas premium,"Cibaduyut, Bandung, Jawa Barat",2,1,195000000.0,40.0,60.0,1300,Multiple options available,1,-6.9406515,107.5875009,325000.0,0,1,0,0
10,https://www.rumah.com/listing-properti/dijual-bandung-inten-indah-oleh-rido-rahadian-20112376,Rumah murah harga nego,"Jl. Gedebage, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",3,2,300000000.0,50.0,72.0,1300,Tak Berperabot,1,-6.949964,107.687061,416666.0,0,0,0,1
11,https://www.rumah.com/listing-properti/dijual-permata-buah-batu-oleh-rido-rahadian-19630391,Rumah murah harga nego,"Jl . Ciganitri, Cijaura (Margasenang), Buah Batu, Buahbatu, Bandung, Jawa Barat",3,2,300000000.0,50.0,72.0,1300,Multiple options available,1,-6.972671,107.636392,416666.0,0,1,0,0
12,https://www.rumah.com/listing-properti/dijual-rumah-gaya-sultan-harga-murah-dakat-pusat-kota-oleh-ratih-20314486,Rumuh Di Pusat kota Bandung Timur akses 3 menit dari jln raya cicahem,"jl. Abdul Hamid, Bandung Timur, Bandung, Jawa Barat",3,2,1000000000.0,62.0,62.0,1300,Tak Berperabot,1,-6.9174639,107.6191228,1612903.0,0,0,0,1
13,https://www.rumah.com/listing-properti/dijual-rumah-murah-perumahan-bonus-berlimpah-mulai-130-jutaan-oleh-zamzam-20895657,Rumah murah perumahan bonus berlimpah mulai 130 jutaan,"Jln. Jatimekar - Bojong malaka, bandung selatan, Pameungpeuk, Bandung, Jawa Barat",2,1,132111994.00000001,36.0,50.0,1300,Sebagian,1,0.7893,113.9213,264224.0,0,0,1,0
14,https://www.rumah.com/listing-properti/dijual-rumah-leuwisari-bandung-oleh-renata-fernandya-20567502,Rumah minimalis scandinavian design tengah kota bandung,"Bojongloa Kidul, Bandung, Jawa Barat",5,4,5350000000.0,276.0,411.0,4400,Lengkap,3,0.7893,113.9213,1301703.0,1,0,0,0
15,https://www.rumah.com/listing-properti/dijual-kosan-murah-kiaracondong-strategis-akses-2-mobil-antapani-bandung-oleh-augus-mimuri-20891108,Kosan murah babakan sari kiaracondong lokasi bagus bandung,"Babakan sari, Kiaracondong, Bandung, Jawa Barat",10,10,1150000000.0,200.0,266.0,1300,Tak Berperabot,1,0.7893,113.9213,432330.0,0,0,0,1
16,https://www.rumah.com/listing-properti/dijual-bawah-njop-pasteur-murah-gegerkalong-mainroad-hitung-6-juta-kota-bandung-oleh-augus-mimuri-20612012,Murah banget pasteur Gegerkalong mainroad harga njop kota bandung,"Gegerkalong hilir, Pasteur, Bandung, Jawa Barat",6,4,8700000000.0,271.0,1254.0,4400,Tak Berperabot,5,0.7893,113.9213,693779.0,0,0,0,1
17,https://www.rumah.com/listing-properti/dijual-murah-jual-b-u-sariwangi-regency-500-jutaan-ciwaruga-parongpong-bandung-oleh-augus-mimuri-20557014,Jual b.u rumah siap huni sariwangi regency cisarua parongpong bandung,"Sariwangi, Bandung Utara, Bandung, Jawa Barat",2,1,520000000.0,49.0,80.0,1300,Tak Berperabot,1,0.7893,113.9213,650000.0,0,0,0,1
18,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-di-cluster-podomoro-park-buah-batu-dekat-telkom-univercity-bandung-kota-oleh-zen-20564374,Rumah Minimalis Di Cluster Podomoro Park Buah Batu Bandung Kota,"Podomoro Park, Buahbatu, Bandung, Jawa Barat",4,4,2650000000.0,126.0,127.0,3500,Multiple options available,2,0.7893,113.9213,2086614.0,0,1,0,0
19,https://www.rumah.com/listing-properti/dijual-cibeunying-kaler-oleh-nelly-sumarlina-20859856,Rumah Strategis Cibeunying Kaler Kota Bandung,"Jl.Cibeunying Kaler, Cibeunying Kaler, Bandung, Jawa Barat",4,4,8500000000.0,360.0,475.0,3500,Tak Berperabot,4,-6.8927351,107.6354505,1789473.0,0,0,0,1
21,https://www.rumah.com/listing-properti/dijual-sentosa-asih-oleh-nenden-ps-20648118,Jual Rumah Siap Huni Sentosa Asih,"komplek sentosa asih, Rancasari, Bandung, Jawa Barat",4,3,775000000.0,179.0,113.0,1300,Tak Berperabot,1,-6.9466401,107.6761534,685840.0,0,0,0,1
22,https://www.rumah.com/listing-properti/dijual-dago-village-oleh-dwi-ningsih-20794742,Villa mewah di Dago Bandung,". Jl. Lebak Siuh, Ciburial, Bukit Pakar Timur, Dago, Bandung, Jawa Barat",3,2,7500000000.0,230.0,512.0,4400,Tak Berperabot,2,-6.85675,107.646667,1464843.0,0,0,0,1
23,https://www.rumah.com/listing-properti/dijual-rumah-2kamar-100jt-oleh-adelia-20827687,Rumah 2kamar 100jutaan,"Rumah 2kamar 100jutaan, Bandung Selatan, Bandung, Jawa Barat",2,1,100000000.0,25.0,35.0,900,Multiple options available,1,0.7893,113.9213,285714.0,0,1,0,0
24,https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-lilly-agustine-20560709,"Jual Rumah Bagus di Komplek Singgasana Pradana, Bandung",". Jl. Moh. Toha, Mekar Wangi Bandung, Mekar Wangi, Bandung, Jawa Barat",5,3,4099999999.9999995,300.0,200.0,4400,Lengkap,1,-6.952859,107.598067,2050000.0,1,0,0,0
25,https://www.rumah.com/listing-properti/dijual-rumah-murah-di-tanjung-sari-antapani-arcamanik-bandung-kota-oleh-zen-20665737,Rumah Murah dan Strategis Di Tanjungsari Antapani Arcamanik Bandung,"Antapani, Antapani, Bandung, Jawa Barat",3,2,1375000000.0,105.0,135.0,1300,Multiple options available,1,0.7893,113.9213,1018518.0,0,1,0,0
26,https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-di-sayap-jl-soekarno-hatta-1-1-m-belakang-rs-edelweis-oleh-feri-kurniawan-20873691,Dijual cepat rumah di sayap jl Soekarno Hatta 1.1 miliar,"Sayap Soekarno-Hatta belakang RS edelweis, Buahbatu, Bandung, Jawa Barat",3,3,1100000000.0,150.0,160.0,2200,Tak Berperabot,2,-6.9512064,107.6375954,687500.0,0,0,0,1
27,https://www.rumah.com/listing-properti/dijual-rumah-berkualitas-readi-dan-inden-bandung-oleh-adelia-19835569,Rumah berkualitas readi dan inden bandung,"rancamanyar, Baleendah, Bandung, Jawa Barat",2,1,115000000.0,30.0,40.0,900,Tak Berperabot,1,-7.0003531,107.6096947,287500.0,0,0,0,1
28,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-2-lantai-murah-di-pasteur-sukawarna-sukajadi-3-6-m-oleh-feri-kurniawan-20866261,Dijual rumah 2 lantai di sukawarna Sukajadi Pasteur 3.6 miliar,"Pasteur sukawarna Sukajadi, Sukajadi, Bandung, Jawa Barat",6,4,3600000000.0,300.0,226.0,2200,Tak Berperabot,2,-6.8912891,107.5993373,1592920.0,0,0,0,1
29,https://www.rumah.com/listing-properti/dijual-terusan-pasteur-oleh-nelly-sumarlina-20864850,Rumah Strategis Pasteur Bandung,"Terusan Pasteur, Pasteur, Bandung, Jawa Barat",7,5,8000000000.0,700.0,318.0,4400,Lengkap,2,-6.8912891,107.5993373,2515723.0,1,0,0,0
30,https://www.rumah.com/listing-properti/dijual-rumah-berasa-villa-di-soreang-asri-dan-good-view-oleh-nandar-20897675,Rumah berasa masih asri dan dingin gud view promo dp 5jt allin Soreang,"Jl sukanagara soreang, Bandung Selatan, Bandung, Jawa Barat",2,2,387000000.0,39.0,54.0,1300,Tak Berperabot,1,-6.9174639,107.6191228,716666.0,0,0,0,1
32,https://www.rumah.com/listing-properti/dijual-jual-rumah-modern-2-lantai-di-arcamanik-kota-bandung-oleh-susi-sulistianti-20852819,Jual Rumah Modern 2 lantai di Arcamanik kota Bandung,"Arcamanik, Bandung, Jawa Barat",2,2,740000000.0,60.0,60.0,1300,Multiple options available,1,0.7893,113.9213,1233333.0,0,1,0,0
33,https://www.rumah.com/listing-properti/dijual-batununggal-oleh-widya-20256375,Batununggal Dijual rumah 2 lt dlm.cluster elite batinunggal,"Batununggal, Batununggal, Bandung, Jawa Barat",6,7,4879000000.0,365.0,240.0,5500,Multiple options available,3,0.7893,113.9213,2032916.0,0,1,0,0
34,https://www.rumah.com/listing-properti/dijual-jual-rugi-rumah-dalam-cluster-antapani-dekat-antapani-city-oleh-agum-20785149,Butuh cepat rumah dalam cluster antapani dekat antapani city,"Antapani, Bandung, Jawa Barat",2,1,825000000.0,60.0,112.0,1300,Tak Berperabot,1,-6.9135245,107.6594029,736607.0,0,0,0,1
35,https://www.rumah.com/listing-properti/dijual-rumah-baru-mekar-wangi-oleh-susy-liu-20278990,Dijual rumah baru minimalis di Mekar Wangi,"Mekar Wangi,Singgasana Pradana,Taman Anggrek, Mekar Wangi, Bandung, Jawa Barat",3,3,2750000000.0,150.0,100.0,2200,Tak Berperabot,1,-6.9529665,107.6022965,2750000.0,0,0,0,1
37,https://www.rumah.com/listing-properti/dijual-batununggal-bandung-pusat-oleh-ella-20259452,"Rumah cluster,syp Batununggal,bebas banjir","Mengger, Batununggal, buahbatu, Batununggal, Bandung, Jawa Barat",5,3,1550000000.0,140.0,112.0,2200,Tak Berperabot,1,0.7893,113.9213,1383928.0,0,0,0,1
38,https://www.rumah.com/listing-properti/dijual-pasteur-bandung-utara-oleh-ella-19691362,"Rumah Lux, siap huni, lingkungan bagus,nyaman, sejuk, jalan lebar","Sukamulya , setra Sari, Sukajadi, Sukajadi, Bandung, Jawa Barat",7,6,10500000000.0,600.0,908.0,7700,Multiple options available,5,0.7893,113.9213,1156387.0,0,1,0,0
39,https://www.rumah.com/listing-properti/dijual-jual-rumah-dalam-cluster-elit-antapani-jarang-ada-dekat-griya-oleh-aira-20864995,Jarang ada lokasi bagus harga murah,"Antapani, Bandung, Jawa Barat",2,1,825000000.0,72.0,112.0,1300,Tak Berperabot,1,-6.9135245,107.6594029,736607.0,0,0,0,1
40,https://www.rumah.com/listing-properti/dijual-rumah-baru-model-bali-keren-promo-november-all-in-10-juta-sampai-terima-kunci-di-ciparay-bandung-sel-oleh-cecep-20882763,Rumah Bagus Model Kereen biaya hanya 10 Juta sampai Akad di Ciparay,"Ciparay, Bandung, Jawa Barat",2,1,490000000.0,40.0,70.0,1300,Sebagian,1,-7.034975,107.7099171,700000.0,0,0,1,0
41,https://www.rumah.com/listing-properti/dijual-hunian-asri-dengan-view-gunung-manglayang-dibandung-timur-4-kilometer-ke-tol-cileunyi-oleh-cecep-20880904,Rumah Murah hanya 200 Jutaan lokasi strategis dan bebas Banjir,"cikalang, Cileunyi, Bandung, Jawa Barat",2,1,275000000.0,30.0,69.0,1300,Tak Berperabot,1,-6.9316588,107.7419708,398550.0,0,0,0,1
42,https://www.rumah.com/listing-properti/dijual-margahayu-permai-rumah-baru-renovasi-nyaman-dan-siap-huni-oleh-gun-20844742,Dijual Rumah di Margahayu Permai Baru Full Renovasi Nyaman dan Bagus,"Margahayu Permai, Kopo, Bandung, Jawa Barat",3,2,1275000000.0,150.0,180.0,2200,Multiple options available,2,0.7893,113.9213,708333.0,0,1,0,0
43,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-3-lantai-setrasari-kuldesak-minimalis-siap-huni-oleh-gun-20752840,Dijual Cepat Rumah 3 Lantai Minimalis Siap Huni di Setrasari Kuldesak,"Setrasari, Setrasari, Bandung, Jawa Barat",4,3,3000000000.0,400.0,149.0,2200,Multiple options available,1,0.7893,113.9213,2013422.0,0,1,0,0
44,https://www.rumah.com/listing-properti/dijual-jual-cepat-batununggal-indah-rumah-minimalis-siap-huni-oleh-gun-20742458,Jual Cepat Turun Harga Rumah Minimalis di Batununggal Siap Huni,"Batununggal indah, Batununggal, Bandung, Jawa Barat",4,3,1800000000.0,90.0,124.0,2200,Multiple options available,1,0.7893,113.9213,1451612.0,0,1,0,0
45,https://www.rumah.com/listing-properti/dijual-batununggal-oleh-widya-20897952,Rumah baru 2 lt minimalis dlm cluster elite di batununggal,"Batununggal Indah, Batununggal, Bandung, Jawa Barat",5,4,3900000000.0,220.0,180.0,2200,Multiple options available,2,0.7893,113.9213,2166666.0,0,1,0,0
46,https://www.rumah.com/listing-properti/dijual-rumah-pribadi-oleh-indra-20778530,Rumah mewah sayap dago dekat UNPAD ITB langsung owner,"Tubagus Ismail, Dago, Bandung, Jawa Barat",7,7,7500000000.0,450.0,348.0,3500,Sebagian,2,0.7893,113.9213,2155172.0,0,0,1,0
49,https://www.rumah.com/listing-properti/dijual-turangga-bandung-oleh-sudarso-20899020,Dijual rumah bisa untuk kantor strategis di jalan utama Turangga Bandu,"Turangga, Bandung, Jawa Barat",5,4,2200000000.0,300.0,146.0,2200,Multiple options available,2,0.7893,113.9213,1506849.0,0,1,0,0
52,https://www.rumah.com/listing-properti/dijual-setraduta-laguna-sudah-renov-siap-huni-oleh-sammy-maulana-18616211,Rumah Terawat Setraduta Laguna,"Setraduta Purnama, Setra Duta, Bandung, Jawa Barat",3,2,3250000000.0,275.0,152.0,5500,Tak Berperabot,2,0.7893,113.9213,2138157.0,0,0,0,1
53,https://www.rumah.com/listing-properti/dijual-3-unit-rumah-baru-minimalis-sariwangi-asri-oleh-sammy-maulana-18820111,Sariwangi Asri sebelah Setraduta,"Sariwangi Asri, Setra Duta, Bandung, Jawa Barat",3,2,1500000000.0,90.0,98.0,2200,Tak Berperabot,2,0.7893,113.9213,1530612.0,0,0,0,1
54,https://www.rumah.com/listing-properti/dijual-rumah-murah-jatihandap-asri-residence-oleh-rofik-19882295,Rumah murah siap huni jatihandap asri residence ahmad land jatihandap,"jatihandap , cicaheum , padasuka , bandung, Antapani, Bandung, Jawa Barat",2,1,356000.0,33.0,60.0,1300,Tak Berperabot,1,-6.8969915,107.6526078,593.0,0,0,0,1
55,https://www.rumah.com/listing-properti/dijual-langka-sekali-rumah-view-cantik-udara-segar-oleh-gugun-firmansyah-18907467,Rumah dijual Bandung view citylight pemandangan indah dan cantik mewah,"Jalan pasirhalang no.33, H. Juanda Dago, Bandung, Jawa Barat",2,2,1679000000.0,120.0,120.0,2200,Multiple options available,2,0.7893,113.9213,1399166.0,0,1,0,0
56,https://www.rumah.com/listing-properti/dijual-antapani-oleh-tri-wahyoko-20740941,"Rumah hitung tanah area sayap Antapani,jarang ada,nego halus","Sayap Antapani, Antapani, Bandung, Jawa Barat",2,1,1650000000.0,100.0,322.0,1300,Multiple options available,1,0.7893,113.9213,512422.0,0,1,0,0
57,https://www.rumah.com/listing-properti/dijual-bukit-pakar-timur-oleh-tri-wahyoko-20537538,"Rumah Villa area Bukit Pakar Timur,Dago murah jarang ada","Bukit Pakar Timur, Cimenyan, Bandung, Jawa Barat",6,5,13000000000.0,300.0,1980.0,4400,Multiple options available,5,0.7893,113.9213,656565.0,0,1,0,0
58,https://www.rumah.com/listing-properti/dijual-rumah-usaha-dan-kost-an-area-ujungberung-oleh-tri-wahyoko-20741078,"Rumah Usaha dan Kost an area Mainroad sekitar Ujungberung, jarang ada","Ujungberung, Ujung Berung, Bandung, Jawa Barat",7,3,1400000000.0,350.0,134.0,2200,Multiple options available,1,0.7893,113.9213,1044776.0,0,1,0,0
60,https://www.rumah.com/listing-properti/dijual-perumahan-murah-dekat-pusat-kota-promo-100jt-an-aja-oleh-zamzam-20864730,Hunian murah promo terbatas harga 100jt aja,"Jln. Jatimekar - Bojong malaka, bandung selatan, Pameungpeuk, Bandung, Jawa Barat",1,1,100000000.0,21.0,51.0,1300,Sebagian,1,0.7893,113.9213,196078.0,0,0,1,0
61,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-dlm-komplek-puskopad-3km-dari-jalan-provinsi-oleh-ian-lesmana-saputra-20837340,Rumah 2 lantai dlm komplek puskopad 3kilo dari jalan provins,"Jalan sekelama komple, Ujung Berung, Bandung, Jawa Barat",3,2,499900000.0,60.0,96.0,2200,Tak Berperabot,1,-6.9060909,107.6911552,520729.0,0,0,0,1
62,https://www.rumah.com/listing-properti/dijual-sangat-langka-rumah-view-terindah-sebandung-oleh-gugun-firmansyah-18905318,Rumah dijual Bandung view citylight pemandangan indah dan cantik mewah,"Jalan pasirhalang no.33, Ciumbuleuit, Bandung, Jawa Barat",2,2,1679000000.0,120.0,120.0,2200,Multiple options available,2,0.7893,113.9213,1399166.0,0,1,0,0
63,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-strategis-bonus-kost-sayap-dago-bandung-oleh-lili-solihin-20891707,Rumah 2 Lantai Strategis Bonus Kost Sayap Dago Bandung,"Dago, Dago, Bandung, Jawa Barat",9,6,17000000000.0,260.0,483.0,3500,,0,-6.8772577,107.6174119,3519668.0,0,0,0,0
64,https://www.rumah.com/listing-properti/dijual-kbp-tatar-wangsakerta-oleh-andrayani-20864213,Nego rumah Full furnished Lux semi industrial Style di Cluster Wangsa,"Jl. Parahiangan, Jayamekar,Kab. Bandung Barat, Bandung, Bandung Kulon, Bandung, Jawa Barat",2,2,2450000000.0,110.0,126.0,2200,Sebagian,0,-6.86016,107.48243,1944444.0,0,0,1,0
65,https://www.rumah.com/listing-properti/dijual-view-indah-sekali-rumah-3-lantai-bandung-oleh-gugun-firmansyah-18914637,Rumah dijual Bandung view citylight pemandangan indah dan cantik mewah,"Jalan pasirhalang no.33, Setra Murni, Bandung, Jawa Barat",2,1,1679000000.0,120.0,120.0,2200,Multiple options available,2,0.7893,113.9213,1399166.0,0,1,0,0
66,https://www.rumah.com/listing-properti/dijual-cluster-full-fasilitas-dan-berkualitas-promo-murah-meriah-lebar-jalan-7-meter-harga-mulai-135jtaan-oleh-sahrul-ramdan-20415063,Promo cluster murah berkualitas dan berfasilitas taman depan perumahan,"Jl sukamukti katapang, soreang, Katapang, Bandung, Jawa Barat",2,1,135000000.0,36.0,50.0,900,Sebagian,1,0.7893,113.9213,270000.0,0,0,1,0
67,https://www.rumah.com/listing-properti/dijual-rumah-buat-kaum-milenial-oleh-sahrul-ramdan-20065807,Rumah termurah di bandung,"Jl terusan cibaduyut rancamanyar, Bandung Selatan, Bandung, Jawa Barat",2,1,160000000.0,70.0,45.0,1300,Multiple options available,2,0.7893,113.9213,355555.0,0,1,0,0
68,https://www.rumah.com/listing-properti/dijual-rumah-murah-di-katapang-bandung-oleh-sahrul-ramdan-19933066,Rumah murah di bandung,"Jl. Sukamukti katapang, Katapang, Bandung, Jawa Barat",2,1,160000000.0,45.0,72.0,1300,Multiple options available,2,0.7893,113.9213,222222.0,0,1,0,0
69,https://www.rumah.com/listing-properti/dijual-perumahan-mengusung-konsep-yang-memadukan-antara-fungsi-hunian-dengan-suasana-villa-oleh-cecep-20885549,"Rumah Baru 2 lantai Lokasi di Cipadung Kodya Bandung, Fasilitas Mantap","Cibiru, Bandung, Jawa Barat",2,2,580000000.0,52.0,52.0,1300,Tak Berperabot,1,-6.9230294,107.7199696,1115384.0,0,0,0,1
70,https://www.rumah.com/listing-properti/dijual-dijual-rumah-konsep-villa-2-lantai-seharga-satu-lantai-cicilan-2-jutaan-oleh-prapto-harsoyo-20770028,"Dijual rumah kosep villa,2 lantai seharga satu lantai,cicilan 2 jutaan","Sukanegara,Soreang, Bandung Selatan, Bandung, Jawa Barat",3,2,529423970.00000006,50.0,72.0,1300,Tak Berperabot,1,-7.0093632,107.5090974,735311.0,0,0,0,1
72,https://www.rumah.com/listing-properti/dijual-the-billabong-soeta-oleh-bramantio-19830123,Rumah Asri Bandung dikawasan Berkembang,". Jl. Soekarno Hatta No. 704 A, Babakan Penghulu, Cinambo, Bandung, Jawa Barat",3,2,1200000000.0,83.0,91.0,1300,Tak Berperabot,1,-6.9400379,107.6826779,1318681.0,0,0,0,1
73,https://www.rumah.com/listing-properti/dijual-dijual-rumah-sarijadi-bandung-oleh-bramantio-20832459,Jual Rumah Sarijadi Kota Bandung,"JL. Perintis No 5, Sarijadi, Bandung, Jawa Barat",8,2,6500000000.0,200.0,244.0,1300,Tak Berperabot,1,-6.8766315,107.5786238,2663934.0,0,0,0,1
74,https://www.rumah.com/listing-properti/dijual-rumah-bagus-minimalis-di-arcamanik-dekat-jalan-utama-arcamanik-oleh-hendra-20414221,Rumah bagus minimalis dekat jalan utama arcamanik jarang ada 940 jt,"Rumah bagus minimalis di arcamanik, Arcamanik, Bandung, Jawa Barat",2,1,940000000.0,72.0,100.0,1300,Tak Berperabot,2,-6.9291188,107.6764994,940000.0,0,0,0,1
77,https://www.rumah.com/listing-properti/dijual-rumah-semi-furnish-harga-bersaing-di-komplek-batununggal-oleh-tina-20601605,Rumah semi furnish harga bersaing di Komplek Batununggal,"Kota Baru Parahyangan, Bandung, Jawa Barat",2,2,2100000000.0,108.0,126.0,4400,Sebagian,1,0.7893,113.9213,1666666.0,0,0,1,0
78,https://www.rumah.com/listing-properti/dijual-hunian-mewah-semi-furnish-super-kece-terawat-di-kota-baru-parahyangan-oleh-tina-20601475,Hunian mewah semi furnish super kece terawat di Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung, Jawa Barat",4,3,4900000000.0,250.0,234.0,3500,Sebagian,2,0.7893,113.9213,2094017.0,0,0,1,0
79,https://www.rumah.com/listing-properti/dijual-rumah-di-kota-baru-parahyangan-dijamin-bikin-nyaman-dan-betah-oleh-tina-20571467,Rumah di Kota Baru Parahyangan dijamin bikin nyaman dan betah,"Kota Baru Parahyangan, Bandung, Jawa Barat",4,3,3300000000.0,250.0,162.0,3500,Sebagian,1,0.7893,113.9213,2037037.0,0,0,1,0
80,https://www.rumah.com/listing-properti/dijual-hunian-mewah-dalam-komplek-dekat-ke-pusat-kota-bandung-oleh-tina-20467899,Hunian mewah dalam komplek dekat ke pusat Kota Bandung,"Pasir Koja, Bandung, Jawa Barat",4,3,5900000000.0,500.0,325.0,13300,Sebagian,2,0.7893,113.9213,1815384.0,0,0,1,0
81,https://www.rumah.com/listing-properti/dijual-batununggal-indah-estate-oleh-vivi-20405051,Rumah bagus banget batununggal dekat tol buah batu bandung,"Jl. Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",4,3,9500000000.0,350.0,450.0,4400,Sebagian,1,-6.954013,107.627417,2111111.0,0,0,1,0
82,https://www.rumah.com/listing-properti/dijual-rumah-kos-terusan-buah-batu-oleh-arif-sofianto-20901960,Rumah kos terusan buah batu,"TERUSAN BUAH BATU, Buahbatu, Bandung, Jawa Barat",10,6,1450000000.0,200.0,66.0,2200,Tak Berperabot,0,-6.9557189,107.6542139,2196969.0,0,0,0,1
83,https://www.rumah.com/listing-properti/dijual-rumah-baru-sindanglaya-3-kt-ujung-berung-oleh-faisal-rasyid-zulkarnaen-20187809,Rumah Baru Sindanglaya 3 Kamar Tidur,"Rumah Baru Sindanglaya 3 KT Ujung Berung, Ujung Berung, Bandung, Jawa Barat",3,2,599000000.0,64.0,80.0,1300,Tak Berperabot,1,-6.8975476,107.6718469,748750.0,0,0,0,1
84,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-sindanglaya-bandung-daerah-atas-oleh-faisal-rasyid-zulkarnaen-20187794,Rumah 2 Lantai Sindanglaya Bandung Daerah Atas,"Rumah 2 Lantai Sindanglaya Bandung Daerah Atas, Dr. Curie Cipaganti, Bandung, Jawa Barat",3,2,599000000.0,64.0,80.0,1300,Tak Berperabot,1,-6.9015427,107.6008254,748750.0,0,0,0,1
85,https://www.rumah.com/listing-properti/dijual-sisa-1-unit-rumah-baru-siap-huni-bandung-banjaran-oleh-faisal-rasyid-zulkarnaen-19342027,Sisa 1 unit Rumah Baru Siap Huni Bandung Banjaran,"Sisa 1 unit Rumah Baru Siap Huni Bandung Banjaran, Banjaran, Bandung, Jawa Barat",2,2,450000000.0,75.0,84.0,1300,Tak Berperabot,1,-7.078419,107.5919395,535714.0,0,0,0,1
86,https://www.rumah.com/listing-properti/dijual-jual-rumah-baru-di-antapani-dekat-arcamanik-oleh-rina-marlina-20720902,Dijual rumah baru Antapani dekat Arcamanik Cinambo,"Antapani dekat Arcamanik Cinambo, Antapani, Bandung, Jawa Barat",2,1,1090000000.0,70.0,102.0,1300,Multiple options available,1,0.7893,113.9213,1068627.0,0,1,0,0
87,https://www.rumah.com/listing-properti/dijual-rumah-baru-minimalis-siap-huni-holis-full-furnish-oleh-renaldo-giovanni-20657389,Rumah Baru Minimalis Siap Huni Holis Full Furnish,"Taman Kopo Indah, Bandung, Jawa Barat",4,3,1822500000.0,142.0,162.0,2200,Lengkap,2,-6.9451718,107.5622692,1125000.0,1,0,0,0
88,https://www.rumah.com/listing-properti/dijual-dijual-rumah-klasik-di-turangga-gumuruh-oleh-yanti-siburian-20695794,Dijual Rumah Klasik Turangga Gumuruh. Bonus Furniture Jati Klasik,"Batununggal, Bandung, Jawa Barat",3,4,5000000000.0,300.0,245.0,3500,Sebagian,2,0.7893,113.9213,2040816.0,0,0,1,0
90,https://www.rumah.com/listing-properti/dijual-margahayu-permai-oleh-evan-dwilak-sono-19816100,Rumah terlaris di bandung,". Jl. Kopo, Kopo, Bandung, Jawa Barat",2,1,275000000.0,45.0,72.0,1300,Multiple options available,1,-6.976137,107.561977,381944.0,0,1,0,0
91,https://www.rumah.com/listing-properti/dijual-taman-sakura-indah-oleh-irwan-20894727,"Dijual Cepat, Rumah Langka dengan Harga Rendah di Taman Sakura Indah","Babakan Ciparay, Bandung, Jawa Barat",4,2,1800000000.0,100.0,124.0,900,Sebagian,1,-6.9569775,107.5821392,1451612.0,0,0,1,0
93,https://www.rumah.com/listing-properti/dijual-bu-rumah-bagus-di-tki-2-bandung-oleh-rudy-setiawan-20781531,"BU, Rumah Bagus, di T K I 2, Bandung","Taman Kopo Indah, Bandung, Jawa Barat",6,3,1700000000.0,216.0,144.0,2200,Multiple options available,1,-6.958444,107.5611179,1180555.0,0,1,0,0
